cosine_distance,photoid,label,longitude,latitude, downloadurl,uid,datetaken,corepoint
0.35773714233872655,8579841769,12,141.344913,43.05945,http://farm9.staticflickr.com/8087/8579841769_847698570a.jpg,97171555@N00,2013-02-08 14:21:24.0,0
0.36045455211999133,8458377826,12,141.345039,43.059583,http://farm9.staticflickr.com/8087/8458377826_249b41aae3.jpg,69379705@N00,2013-02-09 19:47:38.0,0
0.3764270767692026,5448013897,12,141.345233,43.059688,http://farm6.staticflickr.com/5092/5448013897_3a67ca80ae.jpg,28110754@N04,2011-02-14 09:02:07.0,0
0.38053272748760536,6832620217,12,141.344338,43.059605,http://farm8.staticflickr.com/7156/6832620217_a8e37d9903.jpg,40037997@N02,2012-02-06 06:56:39.0,0
0.38485154171063674,8470520309,12,141.344927,43.059597,http://farm9.staticflickr.com/8511/8470520309_13ec48f582.jpg,54717162@N00,2013-02-10 14:32:41.0,0
0.3891865771397186,5449477518,12,141.342461,43.059105,http://farm5.staticflickr.com/4135/5449477518_fefeb46d25.jpg,28110754@N04,2011-02-13 15:40:38.0,0
0.3910033080108253,6577980677,12,141.345044,43.059552,http://farm8.staticflickr.com/7156/6577980677_61564ebe24.jpg,9938180@N07,2011-12-27 08:38:17.0,0
0.39118294641531237,8457273379,12,141.345039,43.059583,http://farm9.staticflickr.com/8511/8457273379_413b3b1a28.jpg,69379705@N00,2013-02-09 19:46:03.0,0
0.3927439936230118,5464589635,12,141.343763,43.05957,http://farm6.staticflickr.com/5051/5464589635_d8f57dd15a.jpg,9938180@N07,2011-02-20 10:58:38.0,0
0.39949400725722084,8457277715,12,141.345039,43.059583,http://farm9.staticflickr.com/8366/8457277715_ecabedfc34.jpg,69379705@N00,2013-02-09 19:48:58.0,0
0.40058917112838144,6832609225,12,141.344338,43.059605,http://farm8.staticflickr.com/7164/6832609225_fab0f12028.jpg,40037997@N02,2012-02-06 06:47:23.0,0
0.42554261782227887,8265814010,12,141.345,43.0595,http://farm9.staticflickr.com/8074/8265814010_f929e9c9b8.jpg,44124362107@N01,2012-12-09 08:26:09.0,0
0.43491469491869417,8457283201,12,141.345039,43.059583,http://farm9.staticflickr.com/8388/8457283201_7cf324e895.jpg,69379705@N00,2013-02-09 19:52:56.0,0
0.43537345503978975,8470520129,12,141.344972,43.059616,http://farm9.staticflickr.com/8378/8470520129_7318690374.jpg,54717162@N00,2013-02-10 14:32:16.0,0
0.44783985867590326,8457278543,12,141.345039,43.059583,http://farm9.staticflickr.com/8248/8457278543_84ea644be2.jpg,69379705@N00,2013-02-09 19:49:33.0,0
0.45911878437210274,8470523085,12,141.342819,43.059519,http://farm9.staticflickr.com/8230/8470523085_df405e3886.jpg,54717162@N00,2013-02-10 14:42:08.0,0
0.4649750731198412,8471615932,12,141.345069,43.059686,http://farm9.staticflickr.com/8386/8471615932_68802e9d18.jpg,54717162@N00,2013-02-10 14:31:44.0,0
0.4651089031493043,8579844595,12,141.344911,43.059586,http://farm9.staticflickr.com/8235/8579844595_703b4e9266.jpg,97171555@N00,2013-02-08 18:30:41.0,0
0.4655602139235073,8464573626,12,141.345,43.0595,http://farm9.staticflickr.com/8105/8464573626_f7696b0850.jpg,69862132@N00,2013-02-10 13:30:14.0,0
0.4809172129345328,8471617766,12,141.343797,43.059586,http://farm9.staticflickr.com/8100/8471617766_b1394fa2fc.jpg,54717162@N00,2013-02-10 14:37:34.0,0
0.4911553016500293,5465185316,12,141.343764,43.05957,http://farm6.staticflickr.com/5093/5465185316_532babc108.jpg,9938180@N07,2011-02-20 10:45:10.0,0
0.49890695432665655,6854327931,12,141.345039,43.059583,http://farm8.staticflickr.com/7148/6854327931_161e1e23e4.jpg,69379705@N00,2012-02-11 11:03:52.0,0
0.49927792971262097,8470521057,12,141.343913,43.059616,http://farm9.staticflickr.com/8370/8470521057_601f6b2657.jpg,54717162@N00,2013-02-10 14:36:43.0,0
0.5037551454346774,8460714662,12,141.345039,43.059583,http://farm9.staticflickr.com/8521/8460714662_a54e11150c.jpg,69862132@N00,2013-02-10 13:31:25.0,0
0.5056040914316146,8471617274,12,141.3439,43.059622,http://farm9.staticflickr.com/8389/8471617274_f859b57468.jpg,54717162@N00,2013-02-10 14:37:04.0,0
0.5152125432809485,6854750333,12,141.345039,43.059583,http://farm8.staticflickr.com/7038/6854750333_17247ec430.jpg,69379705@N00,2012-02-11 13:11:49.0,0
0.588004425544676,8470520485,12,141.344927,43.059591,http://farm9.staticflickr.com/8252/8470520485_ef3c982914.jpg,54717162@N00,2013-02-10 14:32:57.0,0
0.6342206312453267,2636829826,12,141.344858,43.059569,http://farm3.staticflickr.com/2264/2636829826_7a95dce7b9.jpg,25888083@N00,2008-07-04 17:06:33.0,0
