photoid,label,longitude,latitude,downloadurl
5610125900,-1,139.642666,35.446833,http://farm6.staticflickr.com/5142/5610125900_2ce9e882cd.jpg
3019818146,-1,139.642838,35.446788,http://farm4.staticflickr.com/3274/3019818146_b279290dff.jpg
2829541565,-1,139.642807,35.447509,http://farm4.staticflickr.com/3291/2829541565_ab2858d997.jpg
6568364925,-1,139.642689,35.446555,http://farm8.staticflickr.com/7142/6568364925_74a3eef79d.jpg
3071168186,-1,139.643022,35.447552,http://farm4.staticflickr.com/3185/3071168186_72a4c481fb.jpg
7301878432,-1,139.642333,35.4475,http://farm8.staticflickr.com/7083/7301878432_14ed30fe8a.jpg
8224316798,-1,139.642974,35.447247,http://farm9.staticflickr.com/8480/8224316798_07fb2aa563.jpg
8224317462,-1,139.642974,35.447247,http://farm9.staticflickr.com/8066/8224317462_abc53ecb4f.jpg
6452173103,0,139.643,35.447166,http://farm8.staticflickr.com/7010/6452173103_9c57da4845.jpg
6452172153,0,139.643,35.447166,http://farm8.staticflickr.com/7011/6452172153_c122a41a1d.jpg
6452172729,-1,139.643,35.447166,http://farm8.staticflickr.com/7029/6452172729_c9beca06fc.jpg
5670157872,-1,139.642936,35.447208,http://farm6.staticflickr.com/5306/5670157872_963c447e3e.jpg
6452787049,0,139.643,35.447166,http://farm8.staticflickr.com/7032/6452787049_b01cc23ac4.jpg
3820489922,-1,139.642598,35.446993,http://farm4.staticflickr.com/3540/3820489922_fcf33e3a28.jpg
5609545459,-1,139.642666,35.446833,http://farm6.staticflickr.com/5070/5609545459_e5fcd336fe.jpg
6878824135,-1,139.642417,35.447482,http://farm8.staticflickr.com/7194/6878824135_8bac1c70af.jpg
6452788033,0,139.643,35.447166,http://farm8.staticflickr.com/7014/6452788033_efe65e6283.jpg
6452787633,0,139.643,35.447166,http://farm8.staticflickr.com/7174/6452787633_ea323d608b.jpg
11478834113,-1,139.643294,35.44735,http://farm8.staticflickr.com/7374/11478834113_358365989a.jpg
2100215279,-1,139.642609,35.446556,http://farm3.staticflickr.com/2415/2100215279_580b1af811.jpg
2829543613,-1,139.642807,35.447509,http://farm4.staticflickr.com/3141/2829543613_3361a9bbe7.jpg
3230315236,-1,139.642544,35.447753,http://farm4.staticflickr.com/3377/3230315236_8685a7ce7d.jpg
5478405354,-1,139.643086,35.447458,http://farm6.staticflickr.com/5055/5478405354_916f8c7880.jpg
7078461857,-1,139.642571,35.447691,http://farm8.staticflickr.com/7100/7078461857_621b868291.jpg
3070331267,-1,139.642992,35.447502,http://farm4.staticflickr.com/3290/3070331267_81a8276ac7.jpg
7691499610,-1,139.643166,35.447333,http://farm8.staticflickr.com/7248/7691499610_cbae9f1e27.jpg
805333045,-1,139.642581,35.446992,http://farm2.staticflickr.com/1396/805333045_44e8feeb55.jpg
6452171431,0,139.643,35.447166,http://farm8.staticflickr.com/7143/6452171431_b5bfe1ebf2.jpg
6452788675,0,139.643,35.447166,http://farm8.staticflickr.com/7014/6452788675_5c7b8a498f.jpg
5670159112,-1,139.642583,35.446913,http://farm6.staticflickr.com/5141/5670159112_b81c3ba815.jpg
6452173395,-1,139.643,35.447166,http://farm8.staticflickr.com/7010/6452173395_9cf28bb2ee.jpg
8251630899,-1,139.642525,35.447125,http://farm9.staticflickr.com/8060/8251630899_eee94c37b9.jpg
639662610,-1,139.643268,35.447333,http://farm2.staticflickr.com/1110/639662610_6d854198db.jpg
6452171687,0,139.643,35.447166,http://farm8.staticflickr.com/7034/6452171687_ced5f43f21.jpg
8994029788,-1,139.642571,35.447691,http://farm8.staticflickr.com/7457/8994029788_5782a9480a.jpg
8223240773,-1,139.642974,35.447247,http://farm9.staticflickr.com/8068/8223240773_58561d671b.jpg
3019816602,-1,139.642694,35.446922,http://farm4.staticflickr.com/3045/3019816602_e392747306.jpg
7301879772,-1,139.642333,35.4475,http://farm8.staticflickr.com/7087/7301879772_723f4c6e55.jpg
5478403706,-1,139.642841,35.446613,http://farm6.staticflickr.com/5251/5478403706_a6e698d838.jpg
6452172407,0,139.643,35.447166,http://farm8.staticflickr.com/7023/6452172407_a21e3fac4a.jpg
3126643965,-1,139.642732,35.446471,http://farm4.staticflickr.com/3114/3126643965_c21bb2f681.jpg
6452173705,0,139.643,35.447166,http://farm8.staticflickr.com/7006/6452173705_eb53616863.jpg
8224317030,-1,139.642974,35.447247,http://farm9.staticflickr.com/8481/8224317030_46c843ab03.jpg
7301878020,-1,139.642333,35.4475,http://farm9.staticflickr.com/8158/7301878020_6cb8b7c30b.jpg
