photoid,label,longitude,latitude, downloadurl
8036292530,0,141.352393,43.059011,http://farm9.staticflickr.com/8449/8036292530_43ac76daeb.jpg
8036297491,1,141.352393,43.059011,http://farm9.staticflickr.com/8040/8036297491_75258689db.jpg
8036306400,0,141.352393,43.059011,http://farm9.staticflickr.com/8177/8036306400_56dc1ea04d.jpg
8036304701,0,141.352393,43.059011,http://farm9.staticflickr.com/8317/8036304701_22289ca473.jpg
8036340221,0,141.352393,43.059011,http://farm9.staticflickr.com/8449/8036340221_16acb31928.jpg
8036285139,0,141.352393,43.059011,http://farm9.staticflickr.com/8174/8036285139_71e222c767.jpg
8036291792,1,141.352393,43.059011,http://farm9.staticflickr.com/8035/8036291792_d5bea36b37.jpg
8036296752,0,141.352393,43.059011,http://farm9.staticflickr.com/8034/8036296752_2de0599243.jpg
6045382995,1,141.35277,43.058871,http://farm7.staticflickr.com/6086/6045382995_21ce16c9a5.jpg
8036323446,0,141.352393,43.059011,http://farm9.staticflickr.com/8034/8036323446_588b71081a.jpg
8036298913,0,141.352393,43.059011,http://farm9.staticflickr.com/8038/8036298913_6834cf95d5.jpg
8036341575,-1,141.352393,43.059011,http://farm9.staticflickr.com/8319/8036341575_5c2836ff1b.jpg
8036279441,0,141.352393,43.059011,http://farm9.staticflickr.com/8315/8036279441_3557fceb89.jpg
8036326847,-1,141.352393,43.059011,http://farm9.staticflickr.com/8456/8036326847_9322c9596b.jpg
8036303570,0,141.352393,43.059011,http://farm9.staticflickr.com/8178/8036303570_11c81ccac5.jpg
6624519755,0,141.352313,43.059001,http://farm8.staticflickr.com/7143/6624519755_7a14ca7b9a.jpg
3654182773,-1,141.352188,43.059086,http://farm3.staticflickr.com/2462/3654182773_d2dfd63c08.jpg
8043236574,0,141.352125,43.058611,http://farm9.staticflickr.com/8182/8043236574_9d1c506360.jpg
13666639513,0,141.352141,43.058572,http://farm8.staticflickr.com/7377/13666639513_0052913f62.jpg
8036300050,1,141.352393,43.059011,http://farm9.staticflickr.com/8455/8036300050_159d9d5661.jpg
5218144476,-1,141.352451,43.059011,http://farm6.staticflickr.com/5042/5218144476_c288e90d42.jpg
13666606605,-1,141.352355,43.058913,http://farm8.staticflickr.com/7386/13666606605_aef5e28cea.jpg
8036325958,0,141.352393,43.059011,http://farm9.staticflickr.com/8312/8036325958_210e6512f2.jpg
8036291529,1,141.352393,43.059011,http://farm9.staticflickr.com/8449/8036291529_ea972da077.jpg
8207842995,-1,141.352128,43.059569,http://farm9.staticflickr.com/8065/8207842995_c5551877db.jpg
6832541421,-1,141.351813,43.059327,http://farm8.staticflickr.com/7161/6832541421_89c7e6ba2c.jpg
13666604685,-1,141.351808,43.058808,http://farm8.staticflickr.com/7315/13666604685_1440f3df9d.jpg
3654133031,2,141.352111,43.059433,http://farm3.staticflickr.com/2453/3654133031_2e8451dab1.jpg
2250232862,-1,141.3525,43.059607,http://farm3.staticflickr.com/2332/2250232862_b17b89d5e9.jpg
2251988436,3,141.3525,43.059607,http://farm3.staticflickr.com/2063/2251988436_3d12f50cac.jpg
8036304314,0,141.352393,43.059011,http://farm9.staticflickr.com/8177/8036304314_4385330edf.jpg
2250248490,-1,141.3525,43.059607,http://farm3.staticflickr.com/2374/2250248490_2567e4f919.jpg
8036293450,1,141.352393,43.059011,http://farm9.staticflickr.com/8312/8036293450_e21e0196e2.jpg
8036320754,0,141.352393,43.059011,http://farm9.staticflickr.com/8170/8036320754_7d2e85b544.jpg
8036341496,0,141.352393,43.059011,http://farm9.staticflickr.com/8450/8036341496_0b55b42fa9.jpg
8036323941,0,141.352393,43.059011,http://farm9.staticflickr.com/8454/8036323941_054399a030.jpg
6045932594,1,141.352276,43.058813,http://farm7.staticflickr.com/6075/6045932594_f92c6dd344.jpg
8036322417,0,141.352393,43.059011,http://farm9.staticflickr.com/8452/8036322417_6355f9b4d4.jpg
8036322980,0,141.352393,43.059011,http://farm9.staticflickr.com/8173/8036322980_f608c0cdff.jpg
8036310179,0,141.352393,43.059011,http://farm9.staticflickr.com/8452/8036310179_c864732d18.jpg
8036344190,-1,141.352393,43.059011,http://farm9.staticflickr.com/8449/8036344190_9133f5edb3.jpg
3654941850,2,141.352127,43.059233,http://farm4.staticflickr.com/3545/3654941850_7f8f59c48c.jpg
8036306303,0,141.352393,43.059011,http://farm9.staticflickr.com/8171/8036306303_7b75530a37.jpg
7520227118,-1,141.352817,43.059038,http://farm8.staticflickr.com/7248/7520227118_358f031148.jpg
8036301466,0,141.352393,43.059011,http://farm9.staticflickr.com/8040/8036301466_90b2c95dbf.jpg
8036316413,-1,141.352393,43.059011,http://farm9.staticflickr.com/8454/8036316413_0d7016e4d2.jpg
8036318845,0,141.352393,43.059011,http://farm9.staticflickr.com/8461/8036318845_dc223e4776.jpg
3654985978,-1,141.352188,43.059086,http://farm4.staticflickr.com/3632/3654985978_0fbb700d1d.jpg
8036297832,1,141.352393,43.059011,http://farm9.staticflickr.com/8451/8036297832_79f4cd1dc2.jpg
8036265001,-1,141.352393,43.059011,http://farm9.staticflickr.com/8176/8036265001_1b2be88ffe.jpg
8036311628,0,141.352393,43.059011,http://farm9.staticflickr.com/8311/8036311628_9e934a7a85.jpg
13666636073,-1,141.352202,43.058638,http://farm8.staticflickr.com/7203/13666636073_88802fefc3.jpg
8036333721,0,141.352393,43.059011,http://farm9.staticflickr.com/8029/8036333721_59081a82f4.jpg
2250281904,3,141.3525,43.059607,http://farm3.staticflickr.com/2025/2250281904_718177b42e.jpg
8036288202,0,141.352393,43.059011,http://farm9.staticflickr.com/8172/8036288202_ba0b20094f.jpg
8036263837,2,141.352393,43.059011,http://farm9.staticflickr.com/8457/8036263837_c53a95075b.jpg
9037731556,-1,141.351927,43.058913,http://farm3.staticflickr.com/2812/9037731556_4ce3c60bbf.jpg
2251202673,-1,141.3525,43.059607,http://farm3.staticflickr.com/2127/2251202673_b7dc5c5d7c.jpg
3654989430,0,141.352188,43.059086,http://farm4.staticflickr.com/3353/3654989430_6b6b6a0148.jpg
8036311235,0,141.352393,43.059011,http://farm9.staticflickr.com/8169/8036311235_7ec257391e.jpg
8036313595,0,141.352393,43.059011,http://farm9.staticflickr.com/8310/8036313595_73a5cae065.jpg
8036280852,0,141.352393,43.059011,http://farm9.staticflickr.com/8460/8036280852_fe617b9e5a.jpg
8036295607,1,141.352393,43.059011,http://farm9.staticflickr.com/8177/8036295607_24668003b9.jpg
12746614653,-1,141.351666,43.058333,http://farm8.staticflickr.com/7450/12746614653_9f1328e1e8.jpg
8809554371,0,141.35257,43.058923,http://farm8.staticflickr.com/7457/8809554371_625536e60b.jpg
8036320278,-1,141.352393,43.059011,http://farm9.staticflickr.com/8181/8036320278_95e70d2a4d.jpg
2249447991,-1,141.3525,43.059607,http://farm3.staticflickr.com/2352/2249447991_76dbd1440a.jpg
8036302700,0,141.352393,43.059011,http://farm9.staticflickr.com/8035/8036302700_e43c6ec5e2.jpg
8036323437,0,141.352393,43.059011,http://farm9.staticflickr.com/8309/8036323437_240003fca5.jpg
8036319207,0,141.352393,43.059011,http://farm9.staticflickr.com/8460/8036319207_6cccffe7a4.jpg
8036346670,0,141.352393,43.059011,http://farm9.staticflickr.com/8031/8036346670_4672b85e38.jpg
2251200359,-1,141.3525,43.059607,http://farm3.staticflickr.com/2210/2251200359_1c51458497.jpg
8036294251,1,141.352393,43.059011,http://farm9.staticflickr.com/8458/8036294251_5598b75127.jpg
8036329460,-1,141.352393,43.059011,http://farm9.staticflickr.com/8450/8036329460_b405fcfb71.jpg
8036318264,0,141.352393,43.059011,http://farm9.staticflickr.com/8038/8036318264_a49914cbcc.jpg
8036325013,0,141.352393,43.059011,http://farm9.staticflickr.com/8320/8036325013_b64542ebb8.jpg
8036284707,0,141.352393,43.059011,http://farm9.staticflickr.com/8317/8036284707_369cede71f.jpg
4956322365,-1,141.352407,43.058766,http://farm5.staticflickr.com/4127/4956322365_274b48af3e.jpg
8036340990,-1,141.352393,43.059011,http://farm9.staticflickr.com/8175/8036340990_3726c823ce.jpg
8036264446,0,141.352393,43.059011,http://farm9.staticflickr.com/8309/8036264446_cdd9b1b132.jpg
8036324962,0,141.352393,43.059011,http://farm9.staticflickr.com/8462/8036324962_048b9a3a46.jpg
8036299416,0,141.352393,43.059011,http://farm9.staticflickr.com/8172/8036299416_47a631c9dc.jpg
8036311819,0,141.352393,43.059011,http://farm9.staticflickr.com/8317/8036311819_b24549e753.jpg
