photoid,label,longitude,latitude, downloadurl
6960622561,0,141.351608,43.06673,http://farm8.staticflickr.com/7062/6960622561_f6f90e7423.jpg
6122177415,1,141.350097,43.066881,http://farm7.staticflickr.com/6069/6122177415_56b8455450.jpg
3261815217,2,141.350269,43.066174,http://farm4.staticflickr.com/3363/3261815217_f72dcdcde7.jpg
9065880075,-1,141.351166,43.068666,http://farm4.staticflickr.com/3676/9065880075_4c82d8f561.jpg
7675987218,4,141.3508,43.068624,http://farm9.staticflickr.com/8291/7675987218_5dbb076303.jpg
13965134303,-1,141.350594,43.066677,http://farm3.staticflickr.com/2937/13965134303_75afb59601.jpg
6122715126,9,141.350097,43.066881,http://farm7.staticflickr.com/6200/6122715126_76f05783b9.jpg
4629326447,3,141.349777,43.067055,http://farm4.staticflickr.com/3397/4629326447_2b2e3b0297.jpg
4221216781,4,141.350801,43.068625,http://farm5.staticflickr.com/4014/4221216781_ecfe8d9a8a.jpg
36522949,-1,141.353015,43.068386,http://farm1.staticflickr.com/28/36522949_c9b7316214.jpg
2746421426,5,141.352329,43.068511,http://farm4.staticflickr.com/3045/2746421426_5e4deaa99b.jpg
13941972182,6,141.352163,43.067913,http://farm8.staticflickr.com/7168/13941972182_f2624a2856.jpg
3262642954,2,141.350269,43.066174,http://farm4.staticflickr.com/3533/3262642954_538a045338.jpg
13658199794,-1,141.35244,43.068281,http://farm3.staticflickr.com/2813/13658199794_eb59bb6954.jpg
2667168841,-1,141.350055,43.068578,http://farm4.staticflickr.com/3166/2667168841_5bafe9d423.jpg
9035406313,7,141.350777,43.068611,http://farm4.staticflickr.com/3714/9035406313_3c644898c0.jpg
5338161279,-1,141.352059,43.068681,http://farm6.staticflickr.com/5206/5338161279_8ec3252b92.jpg
9028411145,-1,141.352726,43.067719,http://farm8.staticflickr.com/7315/9028411145_77672b7c19.jpg
7034568133,6,141.352972,43.068198,http://farm8.staticflickr.com/7243/7034568133_136d79d2be.jpg
2746419944,5,141.352329,43.068511,http://farm4.staticflickr.com/3284/2746419944_a2e4e0391f.jpg
3212166275,8,141.351997,43.066761,http://farm4.staticflickr.com/3125/3212166275_a463d03a3b.jpg
